Symbol,Type,Quantity,Price,Value,Fees,Date
XRP,Buy,1.317209,$1.52,$2.00,$0.02,"May 9, 2021, 9:35:46 AM"
ETH,Buy,0.00202848,"$3,943.84",$8.00,$0.12,"May 9, 2021, 9:46:31 AM"
UNI,Buy,0.02450739,$40.80,$1.00,$0.01,"May 10, 2021, 9:18:05 AM"
LTC,Buy,0.00247443,$404.13,$1.00,$0.01,"May 10, 2021, 9:22:41 AM"
ADA,Buy,1.105117,$1.81,$2.00,$0.02,"May 10, 2021, 9:33:38 AM"
BCH,Buy,0.00065995,"$1,515.27",$1.00,$0.01,"May 10, 2021, 9:39:46 AM"
BTC,Buy,0.00017,"$58,823.53",$10.00,$0.14,"May 10, 2021, 9:42:08 AM"
XRP,Buy,1.235273,$1.62,$2.00,$0.02,"May 10, 2021, 9:57:02 AM"
ETH,Buy,0.0019584,"$4,084.97",$8.00,$0.12,"May 10, 2021, 10:14:53 AM"
UNI,Buy,0.02703325,$36.99,$1.00,$0.01,"May 11, 2021, 9:15:34 AM"
LTC,Buy,0.00278615,$358.92,$1.00,$0.01,"May 11, 2021, 9:19:28 AM"
ADA,Buy,1.210316,$1.65,$2.00,$0.02,"May 11, 2021, 9:30:07 AM"
BCH,Buy,0.00073677,"$1,357.28",$1.00,$0.01,"May 11, 2021, 9:36:03 AM"
BTC,Buy,0.0001799,"$55,586.44",$10.00,$0.14,"May 11, 2021, 9:38:16 AM"
XRP,Buy,1.390058,$1.44,$2.00,$0.02,"May 11, 2021, 9:42:42 AM"
ETH,Buy,0.00202224,"$3,956.01",$8.00,$0.12,"May 11, 2021, 11:22:02 AM"
UNI,Buy,0.02294747,$43.58,$1.00,$0.01,"May 12, 2021, 9:13:51 AM"
LTC,Buy,0.00262033,$381.63,$1.00,$0.01,"May 12, 2021, 9:17:16 AM"
ADA,Buy,1.11505,$1.79,$2.00,$0.02,"May 12, 2021, 9:25:46 AM"
BCH,Buy,0.00064956,"$1,539.50",$1.00,$0.01,"May 12, 2021, 9:30:24 AM"
BTC,Buy,0.0001745,"$57,306.59",$10.00,$0.14,"May 12, 2021, 9:32:09 AM"
XRP,Buy,1.338711,$1.49,$2.00,$0.02,"May 12, 2021, 9:35:33 AM"
ETH,Buy,0.00186128,"$4,298.12",$8.00,$0.12,"May 12, 2021, 9:46:51 AM"
