Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-03-10T17:48:01.852420Z,,CASH TOP-UP,,,$30,USD,1.14
2020-03-10T17:48:28.920115Z,BLK,BUY - MARKET,0.02245576,$445.32,$10,USD,1.14
2020-03-10T17:50:01.464271Z,GOOGL,BUY - MARKET,0.00815228,"$1,226.65",$10,USD,1.14
2020-03-10T17:54:39.979734Z,META,BUY - MARKET,0.05819705,$171.83,$10,USD,1.14
2020-03-11T22:03:20.055470Z,,CASH TOP-UP,,,$20,USD,1.13
2020-04-13T14:44:00.724528Z,,CASH TOP-UP,,,$100.09,USD,1.1
2020-04-13T14:46:04.679668Z,,CASH TOP-UP,,,$9.05,USD,1.1
2020-04-13T14:46:16.803916Z,,CASH TOP-UP,,,$0.01,USD,1.1
2020-04-13T14:46:27.787287Z,,CASH TOP-UP,,,$0.01,USD,1.1
2020-04-13T14:49:00.241348Z,AMZN,BUY - MARKET,0.0326091,"$2,120.88",$69.16,USD,1.1
2020-04-13T14:51:22.250321Z,AAPL,BUY - MARKET,0.2244417,$267.33,$60,USD,1.1
2020-04-14T14:26:42.788827Z,,CASH TOP-UP,,,$100,USD,1.1
2020-04-14T14:27:33.186771Z,TSLA,BUY - MARKET,0.13681949,$730.89,$100,USD,1.1
2020-04-27T12:40:59.189820Z,,CASH TOP-UP,,,$200,USD,1.09
2020-04-28T14:39:46.211111Z,GOOGL,BUY - MARKET,0.07066582,"$1,273.60",$91.08,USD,1.09
2020-05-07T19:49:17.872893Z,AAPL,BUY - MARKET,0.13194352,$303.16,$40,USD,1.09
2020-05-07T19:51:30.346968Z,,CASH TOP-UP,,,$416.55,USD,1.09
2020-05-07T19:52:36.138915Z,META,BUY - MARKET,0.42716787,$210.69,$90,USD,1.09
2020-05-07T19:52:55.451851Z,BLK,BUY - MARKET,0.18110109,$496.96,$90,USD,1.09
2020-05-15T06:24:11.362665Z,AAPL,DIVIDEND,,,$0.25,USD,1.09
2020-05-31T23:30:04.726579Z,,CUSTODY FEE,,,-$0.01,USD,1.12
2020-06-01T10:39:01.146106Z,,CASH TOP-UP,,,$235.24,USD,1.12
2020-06-16T16:46:32.638728Z,MSFT,BUY - MARKET,0.51541078,$194.02,$100,USD,1.13
2020-06-16T16:47:01.719599Z,AMZN,BUY - MARKET,0.01179349,"$2,615",$30.84,USD,1.13
2020-06-16T16:55:48.628022Z,NFLX,BUY - MARKET,0.22972662,$435.30,$100,USD,1.13
2020-06-22T15:05:29.205736Z,,CASH TOP-UP,,,$315.32,USD,1.13
2020-06-24T05:28:27.141306Z,BLK,DIVIDEND,,,$0.63,USD,1.14
2020-06-30T21:50:58.763348Z,,CASH TOP-UP,,,$405.39,USD,1.13
2020-06-30T23:24:31.698656Z,,CUSTODY FEE,,,-$0.01,USD,1.13
2020-07-09T17:25:13.212450Z,NVDA,BUY - MARKET,0.71744589,$418.15,$300,USD,1.13
2020-07-09T17:26:52.592838Z,ADBE,BUY - MARKET,0.65535094,$457.77,$300,USD,1.13
2020-07-09T17:31:45.099060Z,DDOG,BUY - MARKET,3.12304809,$96.06,$300,USD,1.13
2020-07-31T23:10:03.128461Z,,CUSTODY FEE,,,-$0.02,USD,1.19
2020-08-14T07:03:09.783439Z,AAPL,DIVIDEND,,,$0.25,USD,1.19
2020-08-20T16:20:42.271840Z,TSLA,SELL - MARKET,0.0361623,"$1,991.30",$72,USD,1.19
2020-08-24T17:00:17.748185Z,NVDA,SELL - MARKET,0.12803088,$507.69,$64.99,USD,1.19
2020-08-24T17:01:28.949603Z,ADBE,SELL - MARKET,0.23281554,$472.52,$110,USD,1.19
2020-08-31T08:18:47.543246Z,AAPL,STOCK SPLIT,1.06915566,,$0,USD,1.19
2020-08-31T08:21:22.506845Z,TSLA,STOCK SPLIT,0.40262876,,$0,USD,1.19
2020-08-31T23:07:42.124900Z,,CUSTODY FEE,,,-$0.01,USD,1.2
